longitude,minimum_nights,calculated_host_listings_count,availability_365,neighbourhood_encoded,room_type_encoded,total_reviews,price
-73.92295,15.0,1.0,176.0,21.0,0.0,0.0,475.0
-73.98866,1.0,2.0,159.0,23.0,1.0,2.31,99.0
-73.99994,30.0,2.0,140.0,7.0,0.0,0.0,69.0
-73.97997,25.0,1.0,54.0,26.0,1.0,0.0,79.0
-73.94174,3.0,2.0,38.0,2.0,0.0,50.65,135.0
-73.98899,1.0,1.0,0.0,38.0,1.0,1.02,250.0
-73.9946,4.0,1.0,0.0,14.0,1.0,0.0,250.0
-73.91744,1.0,2.0,344.0,18.0,0.0,38.85,250.0
-73.9574,3.0,1.0,0.0,6.0,0.0,9.18,80.0
-73.99504,3.0,1.0,0.0,7.0,1.0,2.0,70.0
-73.95528,2.0,1.0,18.0,2.0,1.0,11.51,165.0
-73.96605,3.0,1.0,0.0,8.0,0.0,1.03,70.0
-74.02268,1.0,2.0,339.0,90.0,0.0,12.21,50.0
-73.95248,2.0,1.0,9.0,20.0,0.0,71.25,40.0
-73.99435,30.0,31.0,339.0,7.0,1.0,3.45,150.0
-73.9774,3.0,3.0,0.0,13.0,0.0,14.41,125.0
-73.99473,1.0,1.0,0.0,52.0,0.0,0.0,196.0
-73.92726,1.0,1.0,16.0,18.0,1.0,0.0,110.0
-73.98532,3.0,2.0,0.0,8.0,0.0,0.0,170.0
-74.00572,5.0,1.0,0.0,11.0,1.0,3.13,165.0
-73.9996,30.0,121.0,364.0,7.0,1.0,0.0,150.0
-73.95033,1.0,2.0,97.0,2.0,0.0,23.73,100.0
-73.988,2.0,1.0,0.0,7.0,1.0,0.0,65.0
-73.94432,3.0,2.0,66.0,12.0,1.0,16.4,350.0
-73.9753,2.0,1.0,55.0,19.0,1.0,29.86,
-73.92348,29.0,37.0,32.0,18.0,0.0,1.79,200.0
-73.99203,2.0,1.0,0.0,7.0,1.0,0.0,150.0
-73.94356,2.0,2.0,81.0,24.0,0.0,3.15,90.0
-74.08206,1.0,1.0,0.0,93.0,0.0,17.53,
-73.87336,1.0,6.0,351.0,103.0,0.0,269.54,
-73.98159,3.0,1.0,5.0,8.0,1.0,7.33,175.0
-73.99331,2.0,1.0,112.0,23.0,1.0,149.45,125.0
-73.96651,3.0,1.0,0.0,3.0,1.0,3.4699999999999998,
-73.96423,3.0,1.0,0.0,29.0,0.0,4.13,299.0
-74.01183,2.0,327.0,333.0,43.0,1.0,10.31,135.0
-73.83101,2.0,2.0,6.0,116.0,0.0,20.1,130.0
-73.92116,2.0,1.0,0.0,6.0,0.0,4.35,83.0
-73.94664,2.0,4.0,237.0,4.0,0.0,114.04,123.0
-73.95289,2.0,3.0,188.0,2.0,0.0,0.0,55.0
-73.93405,1.0,9.0,301.0,25.0,0.0,89.09,195.0
-73.9659,30.0,96.0,310.0,8.0,1.0,2.13,80.0
-73.9426,30.0,3.0,364.0,12.0,0.0,0.0,98.0
-73.95697,2.0,1.0,30.0,12.0,1.0,0.0,140.0
-73.97623,30.0,10.0,365.0,8.0,0.0,3.09,265.0
-73.9369,3.0,1.0,0.0,6.0,0.0,2.11,
-73.94915,1.0,2.0,171.0,54.0,0.0,6.0,105.0
-73.95712,2.0,2.0,120.0,20.0,0.0,134.5,200.0
-73.98069,1.0,1.0,0.0,68.0,2.0,0.0,
-73.95684,3.0,1.0,0.0,22.0,0.0,5.51,121.0
-73.96405,5.0,1.0,31.0,12.0,0.0,3.74,45.0
-73.79465,3.0,2.0,174.0,37.0,1.0,78.07,100.0
-73.99074,3.0,1.0,0.0,38.0,1.0,7.14,
